상품코드,이미지,상품명,가격,중량,구분,조회수,재고
1001626709,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/2b64c69b-6ee2-4dcf-837f-494f87836ce4.jpg,[햇반] 라이스플랜 렌틸콩퀴노아곤약밥 150g*3입,4980,,도시락/밥류,354,69
1001170131,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/3e620835-6e43-423a-9466-4d2645e0adc9.jpg,[제일맞게컬리] 전주비빔 현미곤약 주먹밥,7600,1팩 (5개입),도시락/밥류,447,194
1001171771,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/25b6f477-df80-49ca-867b-e657b4aa35b9.jpg,[햇반] 라이스플랜 렌틸콩현미밥 190g*4입,8480,1개,도시락/밥류,508,229
5050800,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/f2e2c6cd-affb-4832-87c7-d3421206987c.jpg,[햇반] 매일 찰잡곡밥 210g (8입),15680,묶음,도시락/밥류,221,439
1000773231,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/58314890-2ac9-4583-a5b7-3ef2514c7119.jpg,[키즈다이닝] 엄마와 함께 소고기 비빔밥 세트,9800,1팩,도시락/밥류,54,111
5031706,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/b81a3fd9-c65f-40cc-a55b-a6bc3b436d65.jpg,[올반] 김치볶음밥 (2개입),5337,1봉,도시락/밥류,881,489
5034652,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1644835312136l0.jpg,[LOTS OF LOVE] 한끼든든 친절한 미역국밥 (리뉴얼),6300,1봉,도시락/밥류,631,148
5151454,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/ebe35b67-a8f8-4f03-b674-46f4a4fd771e.jpg,[바르다 김선생] 시그니처 주먹밥 2종,7990,1팩,도시락/밥류,17,120
5151471,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/ee5543e6-fb2f-4803-80f8-23704176d3ea.jpg,[탄단지] 닭가슴살 현미 삼각주먹밥 500g 3종 (택1),6980,1봉,도시락/밥류,485,388
1000275030,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/0a787a35-9658-44d3-a479-158eaf7ac975.jpg,[애슐리] 주먹밥 4종,7900,1팩 당 100gx5개입,도시락/밥류,920,496
